date;temperature_F;total_sales_RS;temperature_C
Monday/March 1/2004;65;38.911;24
Tuesday/March 2/2004;63;36.337;23
Wednesday/March 3/2004;62;35.728;22
Thursday/March 4/2004;65;36.945;24
Friday/March 5/2004;63;36.335;23
Saturday/March 6/2004;63;36.332;23
Sunday/March 7/2004;65;36.939;24
Monday/March 8/2004;63;35.717;22
Tuesday/March 9/2004;63;36.325;23
Wednesday/March 10/2004;60;35.106;21
Thursday/March 11/2004;65;36.932;24
Friday/March 12/2004;62;35.711;22
Saturday/March 13/2004;60;35.101;21
Sunday/March 14/2004;62;35.708;22
Monday/March 15/2004;64;36.317;23
Tuesday/March 16/2004;62;35.705;22
Wednesday/March 17/2004;62;35.703;22
Thursday/March 18/2004;70;38.138;26
Friday/March 19/2004;67;37.529;25
Saturday/March 20/2004;67;37.528;25
Sunday/March 21/2004;62;35.698;22
Monday/March 22/2004;64;36.305;23
Tuesday/March 23/2004;64;36.304;23
Wednesday/March 24/2004;63;36.304;23
Thursday/March 25/2004;65;36.912;24
Friday/March 26/2004;64;36.909;24
Saturday/March 27/2004;65;36.907;24
Sunday/March 28/2004;62;35.687;22
Monday/March 29/2004;65;36.904;24
Tuesday/March 30/2004;65;36.903;24
Wednesday/March 31/2004;65;36.901;24
Thursday/April 1/2004;66;36.899;24
Friday/April 2/2004;60;35.071;21
Saturday/April 3/2004;65;36.894;24
Sunday/April 4/2004;63;36.284;23
Monday/April 5/2004;68;38.108;26
Tuesday/April 6/2004;59;35.060;21
Wednesday/April 7/2004;65;36.886;24
Thursday/April 8/2004;66;36.886;24
Friday/April 9/2004;62;35.667;22
Saturday/April 10/2004;65;36.883;24
Sunday/April 11/2004;63;35.665;22
Monday/April 12/2004;62;35.664;22
Tuesday/April 13/2004;65;36.882;24
Wednesday/April 14/2004;62;35.664;22
Thursday/April 15/2004;63;36.269;23
Friday/April 16/2004;67;37.487;25
Saturday/April 17/2004;65;36.877;24
Sunday/April 18/2004;65;36.877;24
Monday/April 19/2004;65;36.875;24
Tuesday/April 20/2004;65;36.874;24
Wednesday/April 21/2004;64;36.264;23
Thursday/April 22/2004;62;35.655;22
Friday/April 23/2004;62;35.653;22
Saturday/April 24/2004;63;36.262;23
Sunday/April 25/2004;67;37.479;25
Monday/April 26/2004;66;37.478;25
Tuesday/April 27/2004;65;36.869;24
Wednesday/April 28/2004;66;37.478;25
Thursday/April 29/2004;63;36.260;23
Friday/April 30/2004;63;36.257;23
Saturday/May 1/2004;64;36.255;23
Sunday/May 2/2004;63;36.255;23
Monday/May 3/2004;62;35.646;22
Tuesday/May 4/2004;63;35.646;22
Wednesday/May 5/2004;65;36.861;24
Thursday/May 6/2004;61;35.642;22
Friday/May 7/2004;61;35.642;22
Saturday/May 8/2004;62;35.641;22
Sunday/May 9/2004;64;36.250;23
Monday/May 10/2004;66;37.466;25
Tuesday/May 11/2004;62;35.639;22
Wednesday/May 12/2004;62;35.639;22
Thursday/May 13/2004;61;35.637;22
Friday/May 14/2004;65;36.854;24
Saturday/May 15/2004;64;36.242;23
Sunday/May 16/2004;61;35.633;22
Monday/May 17/2004;63;36.241;23
Tuesday/May 18/2004;64;36.241;23
Wednesday/May 19/2004;65;36.850;24
Thursday/May 20/2004;67;37.455;25
Friday/May 21/2004;63;36.237;23
Saturday/May 22/2004;64;36.236;23
Sunday/May 23/2004;65;36.844;24
Monday/May 24/2004;64;36.235;23
Tuesday/May 25/2004;66;36.843;24
Wednesday/May 26/2004;62;35.623;22
Thursday/May 27/2004;66;36.841;24
Friday/May 28/2004;66;36.841;24
Saturday/May 29/2004;62;35.621;22
Sunday/May 30/2004;66;36.838;24
Monday/May 31/2004;63;36.227;23
Tuesday/June 1/2004;60;35.008;21
Wednesday/June 2/2004;63;35.617;22
Thursday/June 3/2004;62;35.616;22
Friday/June 4/2004;63;36.224;23
Saturday/June 5/2004;62;35.615;22
Sunday/June 6/2004;66;36.829;24
Monday/June 7/2004;65;36.828;24
Tuesday/June 8/2004;63;36.217;23
Wednesday/June 9/2004;65;36.823;24
Thursday/June 10/2004;66;36.823;24
Friday/June 11/2004;61;35.605;22
Saturday/June 12/2004;64;36.213;23
Sunday/June 13/2004;66;37.430;25
Monday/June 14/2004;66;37.427;25
Tuesday/June 15/2004;66;36.818;24
Wednesday/June 16/2004;62;35.599;22
Thursday/June 17/2004;62;35.599;22
Friday/June 18/2004;63;36.208;23
Saturday/June 19/2004;64;36.206;23
Sunday/June 20/2004;63;36.206;23
Monday/June 21/2004;63;35.597;22
Tuesday/June 22/2004;67;37.423;25
Wednesday/June 23/2004;62;35.596;22
Thursday/June 24/2004;65;36.812;24
Friday/June 25/2004;61;35.592;22
Saturday/June 26/2004;62;35.592;22
Sunday/June 27/2004;61;35.589;22
Monday/June 28/2004;64;36.197;23
Tuesday/June 29/2004;67;37.415;25
Wednesday/June 30/2004;63;36.196;23
Thursday/July 1/2004;64;36.196;23
Friday/July 2/2004;65;36.804;24
Saturday/July 3/2004;65;36.803;24
Sunday/July 4/2004;62;35.582;22
Monday/July 5/2004;62;35.582;22
Tuesday/July 6/2004;67;37.409;25
Wednesday/July 7/2004;62;35.581;22
Thursday/July 8/2004;67;37.408;25
Friday/July 9/2004;63;36.189;23
Saturday/July 10/2004;65;36.797;24
Sunday/July 11/2004;64;36.797;24
Monday/July 12/2004;64;36.187;23
Tuesday/July 13/2004;66;36.795;24
Wednesday/July 14/2004;63;36.185;23
Thursday/July 15/2004;62;35.575;22
Friday/July 16/2004;60;34.965;21
Saturday/July 17/2004;60;34.965;21
Sunday/July 18/2004;65;36.791;24
Monday/July 19/2004;64;36.181;23
Tuesday/July 20/2004;62;35.571;22
Wednesday/July 21/2004;62;35.570;22
Thursday/July 22/2004;65;36.787;24
Friday/July 23/2004;65;36.784;24
Saturday/July 24/2004;66;37.385;25
Sunday/July 25/2004;65;36.775;24
Monday/July 26/2004;67;37.384;25
Tuesday/July 27/2004;66;37.382;25
Wednesday/July 28/2004;63;36.163;23
Thursday/July 29/2004;61;34.944;21
Friday/July 30/2004;65;36.771;24
Saturday/July 31/2004;66;36.771;24
Sunday/August 1/2004;61;35.553;22
Monday/August 2/2004;63;35.553;22
Tuesday/August 3/2004;63;36.162;23
Wednesday/August 4/2004;66;36.770;24
Thursday/August 5/2004;64;36.160;23
Friday/August 6/2004;64;36.160;23
Saturday/August 7/2004;61;34.942;21
Sunday/August 8/2004;67;37.377;25
Monday/August 9/2004;67;37.376;25
Tuesday/August 10/2004;62;35.548;22
Wednesday/August 11/2004;65;36.764;24
Thursday/August 12/2004;64;36.154;23
Friday/August 13/2004;64;36.153;23
Saturday/August 14/2004;67;37.368;25
Sunday/August 15/2004;62;35.541;22
Monday/August 16/2004;64;36.150;23
Tuesday/August 17/2004;62;35.541;22
Wednesday/August 18/2004;65;36.755;24
Thursday/August 19/2004;65;36.755;24
Friday/August 20/2004;61;35.536;22
Saturday/August 21/2004;62;35.536;22
Sunday/August 22/2004;65;36.753;24
Monday/August 23/2004;61;34.926;21
Tuesday/August 24/2004;65;36.753;24
Wednesday/August 25/2004;63;36.143;23
Thursday/August 26/2004;62;35.534;22
Friday/August 27/2004;64;36.141;23
Saturday/August 28/2004;60;34.922;21
Sunday/August 29/2004;65;36.749;24
Monday/August 30/2004;62;35.531;22
Tuesday/August 31/2004;63;36.140;23
Wednesday/September 1/2004;61;35.530;22
Thursday/September 2/2004;65;36.746;24
Friday/September 3/2004;62;35.528;22
Saturday/September 4/2004;63;36.137;23
Sunday/September 5/2004;62;35.527;22
Monday/September 6/2004;63;36.135;23
Tuesday/September 7/2004;65;36.742;24
Wednesday/September 8/2004;61;35.522;22
Thursday/September 9/2004;61;35.522;22
Friday/September 10/2004;66;36.740;24
Saturday/September 11/2004;66;36.739;24
Sunday/September 12/2004;65;36.737;24
Monday/September 13/2004;63;36.127;23
Tuesday/September 14/2004;64;36.733;24
