employer_name|reviews_count|culture_count|salaries_count|benefits_count|employer-website|employer-headquarters|employer-founded|employer-industry|employer-revenue|url|Geral|Cultura e valores|Diversidade e inclusão|Qualidade de vida|Alta liderança|Remuneração e benefícios|Oportunidades de carreira|Recomendam para outras pessoas(%)|Perspectiva positiva da empresa(%)|Segmento|Nome|match_percent
BNP Paribas|13000|4100|20000|3600|http://www.group.bnpparibas|Paris, França|2000.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Mais de US$ 10 bilhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm|3.8|3.7|4.0|3.8|3.4|3.4|3.5|77.0|63.0|S3|BNP PARIBAS|100
BTG Pactual|1600|683|2800|635|http://www.btgpactual.com|São Paulo, Brasil||/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BTG-Pactual-EI_IE411540.13,24.htm|4.0|3.7|3.5|2.8|3.7|4.4|4.2|78.0|73.0|S1|BTG PACTUAL|100
Banco Alfa|175|74|271|105|http://www.alfanet.com.br|São Paulo, Brasil|1925.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm|3.5|3.2|3.2|3.1|2.8|3.8|2.7|68.0|47.0|S3|ALFA|100
Banco BMG|445|232|704|277|http://www.bancobmg.com.br|São Paulo, Brasil|1930.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|De US$ 1 a US$ 5 milhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm|4.1|3.9|4.1|3.7|3.6|4.2|3.5|79.0|63.0|S3|BMG|100
Banco Bradesco|11000|3300|19000|3200|http://www.bancobradesco.com.br|Osasco, Brasil|1943.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Mais de US$ 10 bilhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm|4.2|3.8|3.9|3.4|3.4|4.3|3.8|81.0|66.0|S1|BRADESCO|100
Banco Daycoval|300|157|521|107|https://www.daycoval.com.br|São Paulo, Brasil|1971.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|De US$ 25 a US$ 100 milhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm|4.0|3.7|3.6|3.4|3.3|4.1|3.4|78.0|72.0|S3|BANCO DAYCOVAL S.A|100
Banco Fibra|119|41|172|37|http://www.bancofibra.com.br|São Paulo, Brasil||/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Fibra-EI_IE744986.13,24.htm|4.3|4.3|4.3|3.8|3.7|4.2|3.6|87.0|84.0|S3|BANCO FIBRA S.A.|100
Banco Original|651|286|1100|261|http://www.original.com.br|São Paulo, Brasil|2016.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Original-EI_IE1026577.13,27.htm|3.8|3.4|3.5|3.4|3.1|4.0|3.3|71.0|53.0|S3|ORIGINAL|100
Banco PAN|1100|520|1700|493|http://www.bancopan.com.br|São Paulo, Brasil|2011.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-PAN-EI_IE1184444.13,22.htm|4.4|4.2|4.4|3.9|3.9|4.6|4.0|91.0|79.0|S3|PAN|100
Banco Pine|121|45|216|63|http://www.pine.com|São Paulo, Brasil|1997.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Pine-EI_IE1086238.13,23.htm|3.8|3.5|3.5|3.4|3.0|3.9|3.5|71.0|50.0|S3|PINE|100
Banco Votorantim|1400|563|2100|574|http://www.bancobv.com.br|São Paulo, Brasil|1991.0|/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-banco-BV-EI_IE333951.13,21.htm|4.4|4.3|4.4|4.1|3.9|4.6|3.9|93.0|79.0|S2|VOTORANTIM|100
Banco do Brasil|5000|1100|9200|1200|https://www.bb.com.br|Brasília, Brasil|1808.0|/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm|Desconhecida/não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-do-Brasil-EI_IE3945.13,28.htm|4.3|3.9|4.0|3.7|3.5|4.2|3.8|86.0|72.0|S1|BANCO DO BRASIL|100
Banco do Nordeste do Brasil|525|113|840|115|http://www.bnb.gov.br|Fortaleza, Brasil||/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm|Desconhecido/Não se aplica|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-do-Nordeste-do-Brasil-EI_IE436304.13,40.htm|4.5|4.4|4.3|4.3|4.1|4.2|4.0|90.0|83.0|S2|BANCO DO NORDESTE DO BRASIL S.A.|100
Bank Of Tokyo-Mitsubishi UFJ|770|150|1100|228|http://www.bk.mufg.jp/global|Tóquio, Japão|1919.0|/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm|Mais de US$ 10 bilhões|https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Bank-Of-Tokyo-Mitsubishi-UFJ-EI_IE240039.13,41.htm|3.6|3.6|3.5|3.4|3.3|3.6|3.3|65.0|43.0|S3|BANCO TOKYO-MITSUBISHI BM S.A.|80
